Date,Open,High,Low,Close,Volume
8/9/2023,161,161,159,160,370
8/8/2023,160,164,160,160,"5,070"
8/7/2023,159.1,161.8,159.1,160,860
8/4/2023,164,164,159,159,980
8/3/2023,164,164,160,160,"7,160"
8/2/2023,164.7,164.7,164.7,164.7,40
8/1/2023,165,166,164.8,164.8,"3,640"
7/31/2023,165,165,160,164.9,"4,540"
7/28/2023,166,166,160,161.2,920
7/27/2023,160,166,160,166,"14,430"
7/26/2023,160,162,160,161,"5,320"
7/25/2023,163,163,159,159,"8,190"
7/24/2023,158.6,163,158.6,159,250
7/21/2023,159.9,163.5,159.9,163.5,"1,670"
7/20/2023,158.1,163.3,158.1,158.5,"2,140"
7/19/2023,163.4,163.4,158.5,160.7,"2,600"
7/18/2023,163.9,163.9,162,163.5,490
7/17/2023,163.9,163.9,163.9,163.9,20
7/14/2023,164.9,164.9,158.5,158.5,"2,620"
7/13/2023,164.4,164.4,164,164,210
7/12/2023,163.2,164.5,158.6,158.7,"7,860"
7/11/2023,163.3,163.7,160,163.2,"1,780"
7/10/2023,163.3,163.3,163.2,163.3,570
7/7/2023,159,163.8,158.5,163.4,"4,410"
7/6/2023,164,164,158.7,158.7,"2,820"
7/5/2023,164.9,164.9,160,160,380
7/4/2023,163.9,164,160,162,760
7/3/2023,164,164.4,161.3,164.3,"1,190"
6/30/2023,161,165,160,164.5,290
6/29/2023,163.9,163.9,160,161,"1,470"
6/27/2023,160,163.9,160,163.9,"1,040"
6/26/2023,159.1,163.9,157.1,160,"3,340"
6/23/2023,163.4,163.4,158,159.4,"2,050"
6/22/2023,163.9,163.9,159,160,590
6/21/2023,164.9,164.9,157,164.7,580
6/20/2023,162,164.9,157,164.9,250
6/19/2023,159,160,157,160,"5,990"
6/16/2023,160,160.9,158.8,159,"4,510"
6/15/2023,160.9,161,156,158.8,"4,080"
6/14/2023,160.1,160.9,160,160.9,"3,160"
6/13/2023,161.1,161.1,160,160.9,"69,270"
6/9/2023,160,161.9,160,161,"19,040"
6/8/2023,160.1,162.5,160.1,160.1,"1,760"
6/7/2023,163,163,163,163,180
6/6/2023,163.9,164,161,161,"1,550"
6/5/2023,163.9,163.9,163.5,163.5,320
6/2/2023,161,163.9,161,161,"2,060"
6/1/2023,164,164,161.2,161.2,540
5/31/2023,162,163.9,161.1,161.2,440
5/30/2023,164,164,164,164,580
5/29/2023,165,165,164,164,210
5/26/2023,164,164,164,164,"1,050"
5/25/2023,166,166,162,162,"2,400"
5/24/2023,166,166,165,165,200
5/23/2023,166,166,162,165,670
5/22/2023,168,168,165,165,290
5/19/2023,166,168,165,167,"1,340"
5/18/2023,168.5,168.5,161,162,"1,620"
5/17/2023,165.8,165.8,165,165,730
5/16/2023,166,168.5,165.8,165.8,770
5/15/2023,168.5,168.5,166,166,240
5/12/2023,164,165,164,165,"2,240"
5/11/2023,165,165,164,165,810
5/10/2023,165,165.4,164,165,220
5/9/2023,165.3,165.3,165,165,410
5/8/2023,165.5,165.5,165,165,"1,130"
5/5/2023,166.6,167,166,166,700
5/4/2023,168.8,168.8,166.6,166.6,"2,120"
5/3/2023,169,169,168,168,560
5/2/2023,162.6,169,162.6,163.5,320
4/28/2023,162.1,169.4,162,169.3,210
4/27/2023,168.6,173.5,168.6,169.9,"1,540"
4/26/2023,160.2,167.5,160.1,167.3,"2,230"
4/25/2023,169.9,169.9,167.7,167.7,60
4/24/2023,167,169,160,160.1,"2,610"
4/20/2023,169,169,169,169,10
4/19/2023,170,170,157.9,169.3,"1,690"
4/18/2023,167,170,167,170,180
4/17/2023,161.9,170,160,170,"1,150"
4/14/2023,162.5,162.5,160,161.9,630
4/13/2023,164,164,157.1,160,"2,330"
4/12/2023,167.5,167.5,162,162,930
4/11/2023,170,170,165,165,60
4/5/2023,173.5,173.5,173.5,173.5,20
4/4/2023,170.1,173.8,162,171,850
4/3/2023,168,174,168,170,730
3/31/2023,174,175,168,168,820
3/30/2023,175,175,174,175,"16,950"
3/29/2023,177,177,174.5,175,"2,930"
3/28/2023,175,180,175,178,"2,000"
3/27/2023,178,180,172.3,172.3,"3,970"
3/24/2023,172,184,172,178,"4,530"
3/23/2023,162,171,162,170,"6,370"
3/22/2023,162,162,161,161.9,"11,750"
3/21/2023,163,167,160.2,160.2,"2,000"
3/20/2023,170,170,156,163.5,"10,540"
3/17/2023,170,170,170,170,360
3/16/2023,165,165,162,165,220
3/15/2023,170,170,165,170,430
3/14/2023,171,171,165,165,"2,540"
3/13/2023,170,171,170,171,"1,870"
